iters,timesteps,total_episode,eval_score,train_score,Robot_0_score,Robot_1_score,Robot_2_score,Robot_3_score,Robot_4_score
290,2979840,5955,2.5645534682049145,2.334032851258964,0.2936835380737268,3.911803836959963,2.5046917166420197,5.692503863976552,0.4200843853723109
300,3082240,6160,2.593310116814905,2.3936990153270865,0.5526317011818853,4.033691019852829,2.535042302342512,5.442162161002789,0.4030233996945111
310,3184640,6365,2.730669677712991,2.3826180972985105,0.6681057780812144,4.209005104301363,2.6032258626942424,5.766546867962175,0.40646477552595867
320,3287040,6570,2.7782612152062502,2.4535943187771982,0.6970307672993287,4.302277629538889,2.6160176340563344,5.867519625007944,0.4084604201287541
330,3389440,6775,2.7483612816685987,2.5851246163856545,0.7110468120803587,4.367242681010257,2.6032060127158574,5.650380882591777,0.40993001994474426
340,3491840,6980,2.7862601304026313,2.602231170757549,0.7258631826128635,4.400494542682214,2.613020721692277,5.784119770160019,0.40780243486578255
350,3594240,7185,2.869674359022032,2.649559941764555,0.726044187955902,4.536979412846056,2.617183913099999,6.0635850853250455,0.4045791958831571
360,3696640,7390,2.8298603977140955,2.65576882333699,0.7013252182062938,4.581043449177673,2.6452711378353464,5.823382070851444,0.39828011249971956
370,3799040,7595,2.7766012546323733,2.6643443233244826,0.5391052666335014,4.5761117331903005,2.58584663908054,5.781356322037926,0.400586312219599
380,3901440,7800,2.8947704611940344,2.7150052943817875,0.8995157764381264,4.754523792365663,2.6443323814501096,5.761795544169011,0.4136848115472623
390,4003840,8005,2.8723531078521627,2.799628027000096,0.5252881820563937,4.880135159599987,2.707957537582232,5.83332259447689,0.41506206554531183
400,4106240,8210,3.024372430868949,2.779069069698932,1.2125165273147767,4.923324806208984,2.727529703724813,5.841053099875148,0.4174380172210253
410,4208640,8415,3.0468634093784237,2.870787266787124,1.1976295910619517,4.978299302313824,2.7240956678443915,5.92150778099695,0.4127847046750018
420,4311040,8620,3.140652239707106,2.736776756976489,1.4631996718375238,5.110502823132014,2.7534112136225573,5.962355873661785,0.413791616281647
