iters,timesteps,total_episode,eval_score,train_score,Robot_0_score,Robot_1_score,Robot_2_score,Robot_3_score,Robot_4_score
140,1443840,2885,0.6206302340401318,0.6350080864586197,0.2820037236730597,0.05922009624350599,0.1955581910858661,2.49866349958799,0.06770565961023708
150,1546240,3090,0.7121840817827354,0.8115022430230091,0.3758136182467106,0.06989037586278535,0.3174183998615424,2.6967606222963605,0.10103739264627826
160,1648640,3295,1.3059968206615293,0.9851177834029,0.8266347659843389,0.06920912995603298,2.6218220390104556,2.8977477302156394,0.11457043814117973
170,1751040,3500,1.461748124683253,1.104015064330961,0.9150346309577693,0.07282219559386158,3.2523827925781017,2.9393063553646046,0.12919464892192886
180,1853440,3705,1.661628856476686,1.3363951878721603,1.2088521629094797,0.07589429605293518,3.7818141421062426,3.1040546334630315,0.13752904785174053
190,1955840,3910,1.8232135035332573,1.4327571279248903,1.3799763761885528,0.09083680420700543,4.256575321840255,3.1808232808809875,0.2078557345494841
200,2058240,4115,1.9139794392412992,1.6079438109007576,1.4135383426433634,0.07824857537041463,4.508464807160889,3.2019373652362333,0.3677081057955953
210,2160640,4320,2.1061875786251694,1.7920749999240173,1.8434471484411976,0.10701113740385265,4.868110514503682,3.220323671114768,0.4920454216623466
220,2263040,4525,2.1487057215144114,1.9002489223597088,1.7111660965214632,0.11223960390650764,5.13255089382603,3.284461525338376,0.5031104879796785
230,2365440,4730,2.280432475144919,1.979003431680087,1.7695229750503954,0.1081398383174326,5.225608692807256,3.6690200772990367,0.6298707922504732
240,2467840,4935,2.3446802196422847,2.0848245146583126,1.782841983220989,0.10066418243650271,5.436699436905034,3.7177283780248027,0.6854671176240943
250,2570240,5140,2.318522984261306,2.1598263005819875,1.8069834807992653,0.11685437506437998,5.509247114929814,3.418618413002956,0.7409115375101148
260,2672640,5345,2.3914255005053016,2.2381511089979167,1.6744465580920607,0.12748287223003257,5.696936314703566,3.5059492609431206,0.9523124965577274
270,2775040,5550,2.579316662300335,2.2922996340651456,2.243506973047448,0.12377383202291956,5.85182315329622,3.5993848146126326,1.0780945385224576
280,2877440,5750,2.7390120533993594,2.52086033148409,2.2687895367208983,0.14560905701703905,5.93807494019696,3.662151160403036,1.6804355726588616
290,2979840,5955,2.67834313366674,2.4680169162298933,1.4278827725049634,0.1344671350643147,6.241053354574971,3.7664315560730444,1.8218808501164063
300,3082240,6160,2.7284788735578265,2.6830214110245314,1.5470338875419316,0.1411990400308542,6.206252387771457,3.9026980606632513,1.8452109917816375
310,3184640,6365,3.0452217137494144,2.8395144735751234,2.7366162385376085,0.13142873062924346,6.362664896063568,4.063837683284716,1.9315610202319355
320,3287040,6570,3.031932269187566,2.687948598954397,2.8269971461123546,0.12832631575617262,6.0777906568666715,4.066551923071454,2.059995304131176
330,3389440,6775,3.0329823507803364,2.852560932827706,2.490308104543084,0.13472207286966312,6.401770447832448,4.073737641086395,2.064373487570093
340,3491840,6980,3.20511309019425,2.8764296087384036,2.9782689232624815,0.12957207090448267,6.603182563152344,4.249205757934553,2.0653361357173887
350,3594240,7185,3.14492201262117,3.038588225971414,3.0487620840636804,0.13497356531589585,6.407037420464284,4.035773443372781,2.0980635498892113
360,3696640,7390,3.1947665307601163,3.071637771541948,3.0964434887899417,0.13363279445938364,6.500212174216692,4.137229887554884,2.1063143087796803
370,3799040,7595,3.142400372801093,2.9025715772865004,2.921750103264454,0.13496229637162865,6.593532764782491,3.956711202634897,2.1050454969519925
380,3901440,7800,3.296501188786812,3.097956257045806,3.07494011220004,0.14231396805781746,6.652318738245203,4.350888638172357,2.262044487258643
390,4003840,8005,3.305954079288091,3.1299866268258763,3.1828970061471855,0.13153380369420456,6.732297474543232,4.17879263530193,2.304249476753903
400,4106240,8210,3.339218160079652,3.1361396155364045,3.25424973565615,0.13416693485690123,6.817477787633358,4.221803246163487,2.2683930960883654
410,4208640,8415,3.3678199238697624,3.146595149672311,3.281477475597676,0.13345248759636844,6.791172649422843,4.3745097149402845,2.2584872917916385
420,4311040,8620,3.4359809960993446,3.1208066001303756,3.2454347208308434,0.13748313128901873,7.027567575666603,4.47147914575534,2.297940406954918
430,4413440,8825,3.4375247691703605,3.2067389080608293,3.201842761004095,0.13488930787158077,6.943372832799559,4.464404075439054,2.4431148687375144
440,4515840,9030,3.4643182129272474,3.1852754210682344,3.285084684444011,0.12860164309884956,7.037707980648966,4.459865650281012,2.410331106163399
450,4618240,9235,3.50886643922306,3.0043951488760654,3.359958648362504,0.13308276112078146,7.109475123938379,4.464694403241351,2.477121259452285
460,4720640,9440,3.5885463872432277,3.292860436510524,3.4556625307174356,0.12841302083108727,7.182663002950326,4.622054766545062,2.553938615172227
470,4823040,9645,3.547036458513231,3.28839921555315,3.4159501688791583,0.12938640157000428,7.095466853000764,4.5329554144161115,2.5614234547001162
480,4925440,9850,3.5523665568651297,3.3088360145395996,3.360239464933631,0.13124952176167884,7.143917092239677,4.5370452974951325,2.5893814078955275
490,5027840,10055,3.554325535060909,3.3216871926555585,3.3505714079774656,0.12902537092225244,7.17949023988366,4.566834968063499,2.5457056884576663
500,5130240,10260,3.6161802395763742,3.3815174151229117,3.3974701315647455,0.12930952663347212,7.197476698662243,4.718123875939,2.63852096508241
510,5232640,10465,3.561588209845565,3.3911668072463668,3.278346658951897,0.12739168918113145,7.176712965860041,4.6483915751065386,2.5770981601282164
520,5335040,10670,3.621353249511175,3.421548851104234,3.547485652514293,0.12945603624509408,7.283206541359589,4.478320019066852,2.668297998370046
530,5437440,10871,3.636472889958271,3.3790739658669393,3.601529808862891,0.1362120057829051,7.312375590916197,4.57672536782912,2.555521676400242
540,5539840,11076,3.67291742719651,3.503888209168303,3.56333254841701,0.12599602275289504,7.274579860344189,4.7947726343486465,2.605906070119809
550,5642240,11281,3.6587615164515386,3.4498950387257743,3.6589634365495165,0.12460352380480816,7.211406824747608,4.62525352141473,2.6735802757410285
560,5744640,11486,3.636434977854408,3.415620255551307,3.5660333318585242,0.12779382086536054,7.268605834256487,4.467813234412925,2.751928667878745
570,5847040,11691,3.6872536657498287,3.3546802230872763,3.628751125202573,0.12781438121385344,7.359161221136574,4.602004295012738,2.718537306183408
580,5949440,11896,3.7263359879562943,3.5131458176775636,3.7522452234456574,0.12887610955601528,7.322791785326866,4.7551879144688005,2.67257890698413
590,6051840,12101,3.785202958007047,3.512191231084656,3.815592737036751,0.13325370517333635,7.288025538168211,4.847591169511957,2.8415516401449805
